,Address,Neighborhood,Bed Rooms,Full Baths,Half Baths,Style,Year Built,Lot Size,Original Price,Last Price,Sold Price,Sold Date,Days on Market,Property Marketing Period
68-5,Lovers Ln,Western Section,2,2,0,Flat,1854,NA,"$799,000.00","$749,000.00","$675,000.00",10/15/21,183,183
33,Gordon Way,Queenston Common,4,2,1,End Unit,1973,NA,"$690,000.00","$690,000.00","$675,000.00",2/23/21,11,11
19,Gordon Way,Queenston Common,4,2,1,End Unit,1973,0.16,"$680,000.00","$680,000.00","$680,000.00",12/22/21,19,19
30,Gordon Way,Queenston Common,4,2,1,End Unit,1973,NA,"$699,000.00","$675,000.00","$680,000.00",5/28/21,48,48
71,Quaker Rd,Battlefield Area,3,2,0,Traditional,1950,2.4,"$775,000.00","$695,000.00","$680,000.00",3/1/21,244,244
248,Mount Lucas Rd,Town & Country,3,1,0,Craftsman,1936,0.21,"$615,000.00","$615,000.00","$685,000.00",8/13/21,7,7
3-D,Palmer Sq W,Princeton Center,2,1,0,Flat,1932,NA,"$725,000.00","$725,000.00","$687,500.00",6/4/21,7,7
6,Rollingmead St,Littlebrook,3,2,0,Cape,1960,0.23,"$699,000.00","$699,000.00","$690,000.00",9/15/21,10,10
44,Chestnut St,Princeton Center,3,1,0,Twin,1894,NA,"$680,000.00","$680,000.00","$690,000.00",8/9/21,15,15
47,Governors Ln,Littlebrook,4,3,1,Townhome,1898,0.3,"$765,000.00","$725,000.00","$693,000.00",2/25/21,114,114
196,State Rd,Princeton Ridge,3,2,1,Colonial,1948,0.39,"$695,000.00","$695,000.00","$695,000.00",12/17/21,13,13
114,Linden Ln,Princeton Center,3,2,1,Victorian,1931,0.14,"$785,000.00","$749,900.00","$695,000.00",12/16/21,94,94
232,Bullock Dr,Washington Oaks,3,2,1,Townhome,1993,NA,"$725,000.00","$699,000.00","$695,000.00",8/12/21,204,204
321,Walnut Ln,Princeton Center,3,1,1,Split,1954,0.32,"$675,000.00","$675,000.00","$695,000.00",5/19/21,14,14
6,Laurel Rd,Town & Country,3,3,0,Ranch,1949,0.26,"$699,000.00","$699,000.00","$699,000.00",12/6/21,12,12
6,Dorann Ave,Littlebrook,3,1,0,Cape,1954,0.32,"$675,000.00","$675,000.00","$700,000.00",7/1/21,6,6
49,Humbert St,Princeton Center,3,2,0,Twin,1930,0.11,"$645,000.00","$645,000.00","$700,000.00",3/31/21,11,11
63,Valley Rd,Princeton Center,3,2,0,Cape,1947,0.28,"$718,500.00","$718,500.00","$700,000.00",1/29/21,59,59
59,Governors Ln,Littlebrook,4,3,1,Townhome,1992,0.3,"$815,000.00","$720,000.00","$705,000.00",1/22/21,401,401
239,S Harrison St,Riverside,3,1,1,Ranch,1957,0.35,"$699,000.00","$699,000.00","$707,000.00",11/5/21,14,14
32,Cameron Ct,Queenston Common,3,2,1,End Unit,1973,NA,"$679,000.00","$679,000.00","$711,000.00",8/16/21,6,6
203,Ross Stevenson Cir,Littlebrook,3,2,1,End Unit,1985,NA,"$739,000.00","$739,000.00","$715,000.00",12/19/21,1,1
80,Linden Ln,Princeton Center,4,1,2,Colonial,1930,NA,"$650,000.00","$650,000.00","$720,000.00",7/2/21,9,9
237,Hamilton Ave,Queenston Common,3,2,1,End Unit,1973,NA,"$725,000.00","$725,000.00","$725,000.00",5/28/21,1,1
220,State Rd,Princeton Ridge,5,3,1,Split,1950,0.39,"$649,000.00","$689,000.00","$725,000.00",5/28/21,18,18
30,Lytle St,Princeton Center,3,2,1,Contemp,1900,0.07,"$715,000.00","$715,000.00","$725,000.00",5/26/21,7,7
15,Erdman Ave,Littlebrook,4,2,0,Cape,1952,0.21,"$625,000.00","$625,000.00","$730,000.00",12/23/21,5,5
176,Cedar Ln,Riverside,3,1,1,Colonial,1948,0.28,"$685,000.00","$685,000.00","$730,000.00",8/10/21,13,13
134,Jefferson Rd,Princeton Center,3,2,0,Twin,1925,0.1,"$749,000.00","$749,000.00","$730,000.00",5/5/21,24,24
1-3E,Markham Rd,Riverside,2,2,0,Flat,1985,NA,"$742,350.00","$742,350.00","$735,000.00",1/5/21,22,22
213,Bayard Ln,Western Section,3,2,1,Contemp,1984,NA,"$699,000.00","$699,000.00","$738,000.00",5/26/21,7,7
766,Kingston Rd,Littlebrook,3,3,0,Cape,1960,0.66,"$750,000.00","$750,000.00","$740,000.00",3/1/21,84,84
27,Woods Way,Littlebrook,4,2,1,Contemp,1969,1.57,"$899,000.00","$775,000.00","$745,000.00",1/22/21,181,181
756,Kingston Rd,Littlebrook,3,2,0,Ranch,1958,0.69,"$699,000.00","$699,000.00","$750,000.00",7/1/21,7,7
748,Kingston Rd,Littlebrook,4,1,1,Ranch,1960,0.67,"$699,000.00","$699,000.00","$750,000.00",6/15/21,9,9
317,Rodney Ct,Washington Oaks,3,2,1,Townhome,1993,0.05,"$730,000.00","$730,000.00","$752,000.00",8/6/21,7,7
162,Linden Ln,Princeton Center,6,4,0,Other,1950,0.14,"$719,000.00","$719,000.00","$755,000.00",11/24/21,12,12
